Pipeline,Type,Jar,Path,core_tokenizer,pos_tagger,chunker,dependency_parser,constituency_parser,fast_dictionary,classic_dictionary,drug_ner,ne_contexts,assertion,relation_extractor,coreference,temporal,template_filler,smoking_status,side_effect,context_tokenizer,preprocessor,writers
BigPipeline.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/BigPipeline.piper,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
ApacheConDemoRelation.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/ApacheConDemoRelation.piper,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
ThreadSafeFullPipeline.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/ThreadSafeFullPipeline.piper,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
DefaultFastPipeline.piper,full,ctakes-clinical-pipeline-6.0.0.jar,org/apache/ctakes/clinical/pipeline/DefaultFastPipeline.piper,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
ApacheConDemo.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/ApacheConDemo.piper,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
SectionedFastPipeline.piper,full,ctakes-clinical-pipeline-6.0.0.jar,org/apache/ctakes/clinical/pipeline/SectionedFastPipeline.piper,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
TsDefaultFastPipeline.piper,full,ctakes-clinical-pipeline-6.0.0.jar,org/apache/ctakes/clinical/pipeline/TsDefaultFastPipeline.piper,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
TsSectionedFastPipeline.piper,full,ctakes-clinical-pipeline-6.0.0.jar,org/apache/ctakes/clinical/pipeline/TsSectionedFastPipeline.piper,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
ProcessDir.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/ProcessDir.piper,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
HelloWorldCui.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/HelloWorldCui.piper,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
HelloWorld.piper,example,ctakes-examples-6.0.0.jar,org/apache/ctakes/examples/pipeline/HelloWorld.piper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DefaultTemporalCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/DefaultTemporalCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TsDefaultTemporalCorefPipeline.piper,full,ctakes-coreference-6.0.0.jar,org/apache/ctakes/coreference/pipeline/TsDefaultTemporalCorefPipeline.piper,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AssertionSubPipe.piper,sub,ctakes-assertion-6.0.0.jar,org/apache/ctakes/assertion/pipeline/AssertionSubPipe.piper,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
